category,source_filename,asset_path,dimensions
items,icon_item_staff_2h_0026.dds,assets/references/items/icon_item_staff_2h_0026.png,48x48
items,icon_item_staff_2h_0050.dds,assets/references/items/icon_item_staff_2h_0050.png,48x48
items,icon_item_mace_1h_0001.dds,assets/references/items/icon_item_mace_1h_0001.png,48x48
items,icon_item_mace_1h_0042.dds,assets/references/items/icon_item_mace_1h_0042.png,48x48
items,icon_item_mace_1h_0080.dds,assets/references/items/icon_item_mace_1h_0080.png,48x48
items,icon_item_spear_2h_0001.dds,assets/references/items/icon_item_spear_2h_0001.png,48x48
items,icon_item_spear_2h_0036.dds,assets/references/items/icon_item_spear_2h_0036.png,48x48
items,icon_item_spear_2h_0068.dds,assets/references/items/icon_item_spear_2h_0068.png,48x48
items,icon_item_bow_0001.dds,assets/references/items/icon_item_bow_0001.png,48x48
items,icon_item_bow_0045.dds,assets/references/items/icon_item_bow_0045.png,48x48
items,icon_item_bow_0088.dds,assets/references/items/icon_item_bow_0088.png,48x48
items,icon_item_shield_0001.dds,assets/references/items/icon_item_shield_0001.png,48x48
items,icon_item_shield_0048.dds,assets/references/items/icon_item_shield_0048.png,48x48
items,icon_item_shield_0090.dds,assets/references/items/icon_item_shield_0090.png,48x48
items,icon_item_arm_cloth_0008.dds,assets/references/items/icon_item_arm_cloth_0008.png,48x48
items,icon_item_arm_leather_0008.dds,assets/references/items/icon_item_arm_leather_0008.png,48x48
items,icon_item_arm_metal_0008.dds,assets/references/items/icon_item_arm_metal_0008.png,48x48
items,icon_item_potion01.dds,assets/references/items/icon_item_potion01.png,48x48
items,icon_item_potion04.dds,assets/references/items/icon_item_potion04.png,48x48
items,icon_item_moonstone03.dds,assets/references/items/icon_item_moonstone03.png,48x48
items,icon_item_0126.dds,assets/references/items/icon_item_0126.png,48x48
items,icon_item_0520.dds,assets/references/items/icon_item_0520.png,48x48
items,icon_item_0920.dds,assets/references/items/icon_item_0920.png,48x48
actions,interaction/icon_interaction01.dds,assets/references/actions/interaction/icon_interaction01.png,48x48
actions,interaction/icon_interaction10.dds,assets/references/actions/interaction/icon_interaction10.png,48x48
actions,interaction/icon_interaction20.dds,assets/references/actions/interaction/icon_interaction20.png,48x48
actions,interaction/icon_interaction35.dds,assets/references/actions/interaction/icon_interaction35.png,48x48
actions,interaction/icon_interaction47.dds,assets/references/actions/interaction/icon_interaction47.png,48x48
actions,interaction/icon_interaction60.dds,assets/references/actions/interaction/icon_interaction60.png,48x48
actions,interaction/icon_interaction75.dds,assets/references/actions/interaction/icon_interaction75.png,48x48
actions,interaction/icon_interaction90.dds,assets/references/actions/interaction/icon_interaction90.png,48x48
actions,emotion/icon_emotion_001.dds,assets/references/actions/emotion/icon_emotion_001.png,48x48
actions,emotion/icon_emotion_008.dds,assets/references/actions/emotion/icon_emotion_008.png,48x48
actions,emotion/icon_emotion_016.dds,assets/references/actions/emotion/icon_emotion_016.png,48x48
actions,emotion/icon_emotion_024.dds,assets/references/actions/emotion/icon_emotion_024.png,48x48
actions,emotion/icon_emotion_032.dds,assets/references/actions/emotion/icon_emotion_032.png,48x48
actions,emotion/icon_emotion_040.dds,assets/references/actions/emotion/icon_emotion_040.png,48x48
actions,emotion/icon_emotion_047.dds,assets/references/actions/emotion/icon_emotion_047.png,48x48
actions,emotion/icon_emotion_049.dds,assets/references/actions/emotion/icon_emotion_049.png,48x48
actions,craft/alchemy.dds,assets/references/actions/craft/alchemy.png,128x128
actions,craft/animal.dds,assets/references/actions/craft/animal.png,128x128
actions,craft/blacksmith.dds,assets/references/actions/craft/blacksmith.png,128x128
actions,craft/cook.dds,assets/references/actions/craft/cook.png,128x128
actions,craft/farm.dds,assets/references/actions/craft/farm.png,128x128
actions,craft/fish.dds,assets/references/actions/craft/fish.png,128x128
actions,craft/metal.dds,assets/references/actions/craft/metal.png,128x128
actions,craft/woodwork.dds,assets/references/actions/craft/woodwork.png,128x128
buffs,icon_buff_buff.dds,assets/references/buffs/icon_buff_buff.png,28x28
buffs,icon_skill_buff112.dds,assets/references/buffs/icon_skill_buff112.png,28x28
buffs,icon_skill_buff133.dds,assets/references/buffs/icon_skill_buff133.png,28x28
buffs,icon_skill_buff154.dds,assets/references/buffs/icon_skill_buff154.png,28x28
buffs,icon_skill_buff178.dds,assets/references/buffs/icon_skill_buff178.png,28x28
buffs,icon_skill_buff198.dds,assets/references/buffs/icon_skill_buff198.png,28x28
buffs,icon_skill_buff218.dds,assets/references/buffs/icon_skill_buff218.png,28x28
buffs,icon_skill_buff239.dds,assets/references/buffs/icon_skill_buff239.png,28x28
buffs,icon_skill_buff26.dds,assets/references/buffs/icon_skill_buff26.png,28x28
buffs,icon_skill_buff48.dds,assets/references/buffs/icon_skill_buff48.png,28x28
buffs,icon_skill_buff75.dds,assets/references/buffs/icon_skill_buff75.png,28x28
buffs,icon_skill_buff99.dds,assets/references/buffs/icon_skill_buff99.png,28x28
buffs,icon_house_009.dds,assets/references/buffs/icon_house_009.png,48x48
buffs,icon_item_0420.dds,assets/references/buffs/icon_item_0420.png,48x48
buffs,icon_item_0966.dds,assets/references/buffs/icon_item_0966.png,48x48
buffs,icon_item_1408.dds,assets/references/buffs/icon_item_1408.png,48x48
buffs,icon_item_1864.dds,assets/references/buffs/icon_item_1864.png,48x48
buffs,icon_item_2028.dds,assets/references/buffs/icon_item_2028.png,48x48
buffs,icon_skill_basic06.dds,assets/references/buffs/icon_skill_basic06.png,48x48
buffs,icon_skill_doll05.dds,assets/references/buffs/icon_skill_doll05.png,48x48
buffs,icon_skill_love04.dds,assets/references/buffs/icon_skill_love04.png,48x48
buffs,icon_skill_passive09.dds,assets/references/buffs/icon_skill_passive09.png,48x48
buffs,icon_skill_vocation14.dds,assets/references/buffs/icon_skill_vocation14.png,48x48
buffs,icon_unknown_item.dds,assets/references/buffs/icon_unknown_item.png,48x48
debuffs,icon_buff_buff.dds,assets/references/debuffs/icon_buff_buff.png,28x28
debuffs,icon_skill_buff10.dds,assets/references/debuffs/icon_skill_buff10.png,28x28
debuffs,icon_skill_buff119.dds,assets/references/debuffs/icon_skill_buff119.png,28x28
debuffs,icon_skill_buff129.dds,assets/references/debuffs/icon_skill_buff129.png,28x28
debuffs,icon_skill_buff152.dds,assets/references/debuffs/icon_skill_buff152.png,28x28
debuffs,icon_skill_buff20.dds,assets/references/debuffs/icon_skill_buff20.png,28x28
debuffs,icon_skill_buff36.dds,assets/references/debuffs/icon_skill_buff36.png,28x28
debuffs,icon_skill_buff48.dds,assets/references/debuffs/icon_skill_buff48.png,28x28
debuffs,icon_skill_buff61.dds,assets/references/debuffs/icon_skill_buff61.png,28x28
debuffs,icon_skill_buff73.dds,assets/references/debuffs/icon_skill_buff73.png,28x28
debuffs,icon_skill_buff85.dds,assets/references/debuffs/icon_skill_buff85.png,28x28
debuffs,icon_skill_buff99.dds,assets/references/debuffs/icon_skill_buff99.png,28x28
debuffs,icon_house_009.dds,assets/references/debuffs/icon_house_009.png,48x48
debuffs,icon_item_0623.dds,assets/references/debuffs/icon_item_0623.png,48x48
debuffs,icon_item_1358.dds,assets/references/debuffs/icon_item_1358.png,48x48
debuffs,icon_skill_cop01.dds,assets/references/debuffs/icon_skill_cop01.png,48x48
debuffs,icon_skill_death14.dds,assets/references/debuffs/icon_skill_death14.png,48x48
debuffs,icon_skill_fight12.dds,assets/references/debuffs/icon_skill_fight12.png,48x48
debuffs,icon_skill_illusion05.dds,assets/references/debuffs/icon_skill_illusion05.png,48x48
debuffs,icon_skill_love26.dds,assets/references/debuffs/icon_skill_love26.png,48x48
debuffs,icon_skill_magic22.dds,assets/references/debuffs/icon_skill_magic22.png,48x48
debuffs,icon_skill_snowlion05.dds,assets/references/debuffs/icon_skill_snowlion05.png,48x48
debuffs,icon_skill_wild22.dds,assets/references/debuffs/icon_skill_wild22.png,48x48
debuffs,icon_unknown_item.dds,assets/references/debuffs/icon_unknown_item.png,48x48
